cnes_codigo,cod_cep,cep_limpo,cep_valido,codufmun,municipio_codigo_6,municipio6_valido,uf_codigo,uf_valida,spatial_resolution_potencial,TP_UNID,TPGESTAO,ESFERA_A,NAT_JUR,COMPETEN
6591620,06401120,06401120,True,350570,350570,True,35,True,cep,21,M,M,1244,202601
6594859,28960514,28960514,True,330187,330187,True,33,True,cep,68,M,M,1244,202601
6595197,99999999,99999999,True,292740,292740,True,29,True,cep,05,E,E,1023,202601
6595421,16200015,16200015,True,350650,350650,True,35,True,cep,68,M,M,1244,202601
6598544,23570000,23570000,True,330455,330455,True,33,True,cep,73,M,M,1031,202601
6598722,28905000,28905000,True,330070,330070,True,33,True,cep,73,M,M,1244,202601
6599028,78319000,78319000,True,510268,510268,True,51,True,cep,68,M,M,1244,202601
6599877,76961887,76961887,True,110004,110004,True,11,True,cep,05,E,E,1023,202601
6600344,06730726,06730726,True,355645,355645,True,35,True,cep,73,M,M,1244,202601
6600476,47220000,47220000,True,290590,290590,True,29,True,cep,05,M,M,1244,202601
6601804,38410651,38410651,True,317020,317020,True,31,True,cep,05,M,M,1244,202601
6602258,63270000,63270000,True,231110,231110,True,23,True,cep,68,M,M,1244,202601
6602533,44094000,44094000,True,291080,291080,True,29,True,cep,07,E,E,1023,202601
6605605,13010142,13010142,True,350950,350950,True,35,True,cep,07,M,M,2062,202601
6607608,39450000,39450000,True,317090,317090,True,31,True,cep,02,M,M,1244,202601
6607667,09850550,09850550,True,354870,354870,True,35,True,cep,73,M,M,1244,202601
6610080,06756450,06756450,True,355280,355280,True,35,True,cep,02,M,M,1244,202601
6611044,79951156,79951156,True,500570,500570,True,50,True,cep,05,M,M,3999,202601
6612075,61933050,61933050,True,230765,230765,True,23,True,cep,02,M,M,1244,202601
6613136,85869755,85869755,True,410830,410830,True,41,True,cep,73,M,M,1244,202601
6613586,60060440,60060440,True,230440,230440,True,23,True,cep,36,E,E,1023,202601
6614426,01227200,01227200,True,355030,355030,True,35,True,cep,07,M,M,3069,202601
6617441,73850000,73850000,True,520620,520620,True,52,True,cep,02,M,M,1244,202601
6617646,95190000,95190000,True,431900,431900,True,43,True,cep,68,M,M,1244,202601
6617719,39695000,39695000,True,312675,312675,True,31,True,cep,02,M,M,1244,202601
6618332,01513040,01513040,True,355030,355030,True,35,True,cep,07,M,M,2062,202601
6618464,54160000,54160000,True,260790,260790,True,26,True,cep,73,E,E,1023,202601
6618871,23066090,23066090,True,330455,330455,True,33,True,cep,02,M,M,1031,202601
6625649,07111120,07111120,True,351880,351880,True,35,True,cep,05,M,M,2143,202601
6627595,69070000,69070000,True,130260,130260,True,13,True,cep,07,E,E,1023,202601
6629385,23815000,23815000,True,330200,330200,True,33,True,cep,73,M,M,1244,202601
6629954,24753560,24753560,True,330490,330490,True,33,True,cep,73,E,E,1023,202601
6629989,28060010,28060010,True,330100,330100,True,33,True,cep,73,E,E,1023,202601
6630243,28390000,28390000,True,330410,330410,True,33,True,cep,36,M,M,1244,202601
6631169,20745270,20745270,True,330455,330455,True,33,True,cep,73,M,M,1031,202601
