cnes_codigo,municipio_codigo_6,municipio_nome,uf_sigla,latitude,longitude,centroide_lat,centroide_lon,spatial_resolution_final,spatial_source,geocode_quality,dist_km_to_expected_municipio,candidate_downgrade_to_municipio
2593262,250750,João Pessoa,PB,-15.8032581,-47.8854767,-7.165461049386194,-34.86952559862499,cep,nominatim_cep,aproximado_por_cep,1711.5930541607606,True
7561792,250750,João Pessoa,PB,-15.8032581,-47.8854767,-7.165461049386194,-34.86952559862499,cep,nominatim_cep,aproximado_por_cep,1711.5930541607606,True
7584164,250750,João Pessoa,PB,-15.8032581,-47.8854767,-7.165461049386194,-34.86952559862499,cep,nominatim_cep,aproximado_por_cep,1711.5930541607606,True
2375265,241150,Santo Antônio,RN,-15.8032581,-47.8854767,-6.339475327162712,-35.5053898055496,cep,nominatim_cep,aproximado_por_cep,1711.036109143048,True
2356988,250180,Bayeux,PB,-15.8032581,-47.8854767,-7.131731253894776,-34.92194589609464,cep,nominatim_cep,aproximado_por_cep,1709.048209079852,True
2474891,241030,Serra Caiada,RN,-15.8032581,-47.8854767,-6.1077705461493,-35.72195502330432,cep,nominatim_cep,aproximado_por_cep,1708.9741532661442,True
2475146,241110,Ruy Barbosa,RN,-15.8032581,-47.8854767,-5.856865269158325,-35.940523879272625,cep,nominatim_cep,aproximado_por_cep,1708.8360528336482,True
2592746,251370,Santa Rita,PB,-15.8032581,-47.8854767,-7.067284721232718,-35.000077161851664,cep,nominatim_cep,aproximado_por_cep,1706.2186008012795,True
2343320,251370,Santa Rita,PB,-15.8032581,-47.8854767,-7.067284721232718,-35.000077161851664,cep,nominatim_cep,aproximado_por_cep,1706.2186008012795,True
2343363,251370,Santa Rita,PB,-15.8032581,-47.8854767,-7.067284721232718,-35.000077161851664,cep,nominatim_cep,aproximado_por_cep,1706.2186008012795,True
2375079,240620,Lagoa d'Anta,RN,-15.8032581,-47.8854767,-6.38416905572461,-35.62631061261206,cep,nominatim_cep,aproximado_por_cep,1697.5268763585045,True
2520524,291840,Juazeiro,BA,-23.4647655,-46.8584264,-9.556628601606818,-40.27440157133306,cep,nominatim_cep,aproximado_por_cep,1697.4377144925825,True
